Days from Unification,Number of Fish,Species
426,20,Apogonidae
382,21,Apogonidae
353,21,Apogonidae
338,21,Apogonidae
222,21,Apogonidae
119,21,Apogonidae
412,21,Apogonidae
353,21,Apogonidae
280,21,Apogonidae
251,21,Apogonidae
382,22,Apogonidae
222,22,Apogonidae
221,22,Apogonidae
498,23,Apogonidae
412,23,Apogonidae
367,23,Apogonidae
250,24,Apogonidae
295,24,Apogonidae
324,25,Apogonidae
265,25,Apogonidae
250,25,Apogonidae
237,25,Apogonidae
236,25,Apogonidae
309,29,Apogonidae
251,30,Apogonidae
250,31,Apogonidae
265,38,Apogonidae
396,48,Apogonidae
514,51,Apogonidae
339,51,Apogonidae
338,53,Apogonidae
470,53,Apogonidae
595,60,Apogonidae
338,64,Apogonidae
13,133,Apogonidae
543,20,Blenniidae
514,20,Blenniidae
455,20,Blenniidae
441,20,Blenniidae
368,20,Blenniidae
265,20,Blenniidae
207,20,Blenniidae
178,20,Blenniidae
120,20,Blenniidae
61,20,Blenniidae
529,21,Blenniidae
397,21,Blenniidae
192,21,Blenniidae
105,21,Blenniidae
558,21,Blenniidae
499,21,Blenniidae
470,21,Blenniidae
484,22,Blenniidae
119,26,Blenniidae
75,26,Blenniidae
134,29,Blenniidae
61,29,Blenniidae
163,29,Blenniidae
90,30,Blenniidae
105,33,Blenniidae
148,34,Blenniidae
136,34,Blenniidae
147,34,Blenniidae
133,35,Blenniidae
135,35,Blenniidae
78,35,Blenniidae
89,35,Blenniidae
77,35,Blenniidae
87,35,Blenniidae
76,35,Blenniidae
192,36,Blenniidae
89,36,Blenniidae
103,36,Blenniidae
92,36,Blenniidae
222,37,Blenniidae
163,39,Blenniidae
207,39,Blenniidae
178,39,Blenniidae
164,39,Blenniidae
165,39,Blenniidae
163,39,Blenniidae
265,43,Blenniidae
148,44,Blenniidae
162,44,Blenniidae
148,44,Blenniidae
251,46,Blenniidae
236,47,Blenniidae
309,49,Blenniidae
295,49,Blenniidae
192,50,Blenniidae
397,50,Blenniidae
192,50,Blenniidae
514,52,Blenniidae
412,53,Blenniidae
382,53,Blenniidae
178,53,Blenniidae
353,54,Blenniidae
280,55,Blenniidae
470,58,Blenniidae
235,58,Blenniidae
222,58,Blenniidae
529,58,Blenniidae
411,59,Blenniidae
222,60,Blenniidae
455,60,Blenniidae
222,60,Blenniidae
558,63,Blenniidae
207,63,Blenniidae
366,64,Blenniidae
353,64,Blenniidae
367,64,Blenniidae
353,64,Blenniidae
368,64,Blenniidae
411,65,Blenniidae
397,66,Blenniidae
411,66,Blenniidae
410,66,Blenniidae
426,67,Blenniidae
484,67,Blenniidae
441,67,Blenniidae
470,68,Blenniidae
382,68,Blenniidae
207,68,Blenniidae
