,,LengthCategory,,,
Area,FinancialYear,< 2m,>= 2m,Non-shark,Grand Total
Bribie Island,2017-18,,2,,2
Bribie Island,2018-19,,1,,1
Bribie Island,2019-20,1,1,,2
Bribie Island,2020-21,,1,,1
Bribie Island,2021-22,,1,1,2
Bribie Island,2022-23,1,2,2,5
Bribie Island,2023-24,,1,1,2
Bribie Island,2024-25,4,3,1,8
Bribie Island Total,,6,12,5,23
Bundaberg,2000-01,13,13,7,33
Bundaberg,2001-02,26,31,9,66
Bundaberg,2002-03,29,41,11,81
Bundaberg,2003-04,17,24,6,47
Bundaberg,2004-05,27,31,13,71
Bundaberg,2005-06,32,26,4,62
Bundaberg,2006-07,33,15,4,52
Bundaberg,2007-08,29,19,10,58
Bundaberg,2008-09,23,23,10,56
Bundaberg,2009-10,17,22,12,51
Bundaberg,2010-11,32,16,14,62
Bundaberg,2011-12,41,23,10,74
Bundaberg,2012-13,34,23,8,65
Bundaberg,2013-14,42,33,5,80
Bundaberg,2014-15,26,21,13,60
Bundaberg,2015-16,21,26,4,51
Bundaberg,2016-17,33,20,1,54
Bundaberg,2017-18,20,31,2,53
Bundaberg,2018-19,18,32,,50
Bundaberg,2019-20,29,36,1,66
Bundaberg,2020-21,29,28,2,59
Bundaberg,2021-22,36,41,1,78
Bundaberg,2022-23,22,38,2,62
Bundaberg,2023-24,23,37,,60
Bundaberg,2024-25,44,36,,80
Bundaberg Total,,696,686,149,1531
Cairns,2000-01,17,25,9,51
Cairns,2001-02,25,45,24,94
Cairns,2002-03,21,32,18,71
Cairns,2003-04,19,26,22,67
Cairns,2004-05,42,39,29,110
Cairns,2005-06,24,23,12,59
Cairns,2006-07,33,20,19,72
Cairns,2007-08,43,28,16,87
Cairns,2008-09,34,29,19,82
Cairns,2009-10,30,26,14,70
Cairns,2010-11,53,31,31,115
Cairns,2011-12,52,47,19,118
Cairns,2012-13,34,35,26,95
Cairns,2013-14,33,39,,72
Cairns,2014-15,67,25,,92
Cairns,2015-16,71,26,1,98
Cairns,2016-17,30,19,1,50
Cairns,2017-18,20,25,,45
Cairns,2018-19,16,25,,41
